"","variable","activity_name","subject_id","value"
"86","tGravityAcc-mean()-X","SITTING",1,0.831509933404255
"87","tGravityAcc-mean()-Y","SITTING",1,0.204411592680851
"88","tGravityAcc-mean()-Z","SITTING",1,0.332043702765957
"89","tGravityAcc-std()-X","SITTING",1,-0.968457145744681
"90","tGravityAcc-std()-Y","SITTING",1,-0.935517055957447
"91","tGravityAcc-std()-Z","SITTING",1,-0.949040933191489
"92","tBodyAccJerk-mean()-X","SITTING",1,0.0774825199574468
"93","tBodyAccJerk-mean()-Y","SITTING",1,-0.000619102785106384
"94","tBodyAccJerk-mean()-Z","SITTING",1,-0.00336779235021277
"95","tBodyAccJerk-std()-X","SITTING",1,-0.986430711276596
"96","tBodyAccJerk-std()-Y","SITTING",1,-0.981371965319149
"97","tBodyAccJerk-std()-Z","SITTING",1,-0.987910804468085
"98","tBodyGyro-mean()-X","SITTING",1,-0.045350056512766
"99","tBodyGyro-mean()-Y","SITTING",1,-0.0919241549361702
"100","tBodyGyro-mean()-Z","SITTING",1,0.0629313811914894
"101","tBodyGyro-std()-X","SITTING",1,-0.977211283191489
"102","tBodyGyro-std()-Y","SITTING",1,-0.966473895319149
"103","tBodyGyro-std()-Z","SITTING",1,-0.941425920851064
"104","tBodyGyroJerk-mean()-X","SITTING",1,-0.0936793807234043
"105","tBodyGyroJerk-mean()-Y","SITTING",1,-0.0402118124255319
"106","tBodyGyroJerk-mean()-Z","SITTING",1,-0.046702627
"107","tBodyGyroJerk-std()-X","SITTING",1,-0.99173159212766
"108","tBodyGyroJerk-std()-Y","SITTING",1,-0.989518068510638
"109","tBodyGyroJerk-std()-Z","SITTING",1,-0.987935806382979
"110","tBodyAccMag-mean()","SITTING",1,-0.948536786170213
"111","tBodyAccMag-std()","SITTING",1,-0.927078418723404
"112","tGravityAccMag-mean()","SITTING",1,-0.948536786170213
"113","tGravityAccMag-std()","SITTING",1,-0.927078418723404
"114","tBodyAccJerkMag-mean()","SITTING",1,-0.987364195531915
"115","tBodyAccJerkMag-std()","SITTING",1,-0.984120024042553
"116","tBodyGyroMag-mean()","SITTING",1,-0.93089249
"117","tBodyGyroMag-std()","SITTING",1,-0.934531840425532
"118","tBodyGyroJerkMag-mean()","SITTING",1,-0.991976341276596
"119","tBodyGyroJerkMag-std()","SITTING",1,-0.988308728510638
"120","fBodyAcc-mean()-X","SITTING",1,-0.979641238723404
"121","fBodyAcc-mean()-Y","SITTING",1,-0.944084550425532
"122","fBodyAcc-mean()-Z","SITTING",1,-0.959184889148936
"123","fBodyAcc-std()-X","SITTING",1,-0.976412313191489
"124","fBodyAcc-std()-Y","SITTING",1,-0.917275006382979
"125","fBodyAcc-std()-Z","SITTING",1,-0.934469558085106
"126","fBodyAcc-meanFreq()-X","SITTING",1,-0.0495135975489362
"127","fBodyAcc-meanFreq()-Y","SITTING",1,0.0759460768510638
"128","fBodyAcc-meanFreq()-Z","SITTING",1,0.238829870148936
"129","fBodyAccJerk-mean()-X","SITTING",1,-0.986597022553191
"130","fBodyAccJerk-mean()-Y","SITTING",1,-0.981579467021277
"131","fBodyAccJerk-mean()-Z","SITTING",1,-0.986053092340425
"132","fBodyAccJerk-std()-X","SITTING",1,-0.987492994468085
"133","fBodyAccJerk-std()-Y","SITTING",1,-0.982513909574468
"134","fBodyAccJerk-std()-Z","SITTING",1,-0.988339184893617
"135","fBodyAccJerk-meanFreq()-X","SITTING",1,0.256610823568085
"136","fBodyAccJerk-meanFreq()-Y","SITTING",1,0.0475437839595745
"137","fBodyAccJerk-meanFreq()-Z","SITTING",1,0.0923920032553192
"138","fBodyGyro-mean()-X","SITTING",1,-0.976161464042553
"139","fBodyGyro-mean()-Y","SITTING",1,-0.975838585319149
"140","fBodyGyro-mean()-Z","SITTING",1,-0.951315544468085
"141","fBodyGyro-std()-X","SITTING",1,-0.977904227021277
"142","fBodyGyro-std()-Y","SITTING",1,-0.962345042553192
"143","fBodyGyro-std()-Z","SITTING",1,-0.94391784106383
"144","fBodyGyro-meanFreq()-X","SITTING",1,0.189153021260851
"145","fBodyGyro-meanFreq()-Y","SITTING",1,0.0631270669787234
"146","fBodyGyro-meanFreq()-Z","SITTING",1,-0.0297839207446809
"147","fBodyAccMag-mean()","SITTING",1,-0.947782922553192
"148","fBodyAccMag-std()","SITTING",1,-0.928444801702128
"149","fBodyAccMag-meanFreq()","SITTING",1,0.236655011680851
"150","fBodyBodyAccJerkMag-mean()","SITTING",1,-0.985262126808511
"151","fBodyBodyAccJerkMag-std()","SITTING",1,-0.981606177446808
"152","fBodyBodyAccJerkMag-meanFreq()","SITTING",1,0.351852201957447
"153","fBodyBodyGyroMag-mean()","SITTING",1,-0.958435589361702
"154","fBodyBodyGyroMag-std()","SITTING",1,-0.932198374893617
"155","fBodyBodyGyroMag-meanFreq()","SITTING",1,-0.000262186717021277
"156","fBodyBodyGyroJerkMag-mean()","SITTING",1,-0.989797547234043
"157","fBodyBodyGyroJerkMag-std()","SITTING",1,-0.987049617234043
"158","fBodyBodyGyroJerkMag-meanFreq()","SITTING",1,0.184775928085106
"159","tBodyAcc-mean()-X","STANDING",1,0.278917629056604
"160","tBodyAcc-mean()-Y","STANDING",1,-0.0161375901037736
"161","tBodyAcc-mean()-Z","STANDING",1,-0.110601817735849
"162","tBodyAcc-std()-X","STANDING",1,-0.995759901509434
"163","tBodyAcc-std()-Y","STANDING",1,-0.973190056415094
"164","tBodyAcc-std()-Z","STANDING",1,-0.979775876981132
"165","tGravityAcc-mean()-X","STANDING",1,0.942952000377358
"166","tGravityAcc-mean()-Y","STANDING",1,-0.272983832264151
"167","tGravityAcc-mean()-Z","STANDING",1,0.0134905823226415
"168","tGravityAcc-std()-X","STANDING",1,-0.99376298509434
"169","tGravityAcc-std()-Y","STANDING",1,-0.981225957924528
"170","tGravityAcc-std()-Z","STANDING",1,-0.976324063584906
"171","tBodyAccJerk-mean()-X","STANDING",1,0.0753766542264151
"172","tBodyAccJerk-mean()-Y","STANDING",1,0.00797573092830189
"173","tBodyAccJerk-mean()-Z","STANDING",1,-0.00368524954709434
"174","tBodyAccJerk-std()-X","STANDING",1,-0.994604542264151
"175","tBodyAccJerk-std()-Y","STANDING",1,-0.98564873245283
"176","tBodyAccJerk-std()-Z","STANDING",1,-0.992251177358491
"177","tBodyGyro-mean()-X","STANDING",1,-0.0239877347979245
"178","tBodyGyro-mean()-Y","STANDING",1,-0.0593972209811321
"179","tBodyGyro-mean()-Z","STANDING",1,0.074800751
"180","tBodyGyro-std()-X","STANDING",1,-0.987191946603774
"181","tBodyGyro-std()-Y","STANDING",1,-0.98773444
"182","tBodyGyro-std()-Z","STANDING",1,-0.980645626981132
"183","tBodyGyroJerk-mean()-X","STANDING",1,-0.0996092129056604
"184","tBodyGyroJerk-mean()-Y","STANDING",1,-0.0440627877924528
"185","tBodyGyroJerk-mean()-Z","STANDING",1,-0.0489505466716981
"186","tBodyGyroJerk-std()-X","STANDING",1,-0.992945106981132
"187","tBodyGyroJerk-std()-Y","STANDING",1,-0.995137917358491
"188","tBodyGyroJerk-std()-Z","STANDING",1,-0.992108467169811
"189","tBodyAccMag-mean()","STANDING",1,-0.984278207358491
"190","tBodyAccMag-std()","STANDING",1,-0.981942928867925
"191","tGravityAccMag-mean()","STANDING",1,-0.984278207358491
"192","tGravityAccMag-std()","STANDING",1,-0.981942928867925
"193","tBodyAccJerkMag-mean()","STANDING",1,-0.992367790566038
"194","tBodyAccJerkMag-std()","STANDING",1,-0.993096209433962
"195","tBodyGyroMag-mean()","STANDING",1,-0.976493792830189
"196","tBodyGyroMag-std()","STANDING",1,-0.978690028679245
"197","tBodyGyroJerkMag-mean()","STANDING",1,-0.994966790566038
"198","tBodyGyroJerkMag-std()","STANDING",1,-0.994733238679245
"199","fBodyAcc-mean()-X","STANDING",1,-0.995249932641509
"200","fBodyAcc-mean()-Y","STANDING",1,-0.977070847735849
"201","fBodyAcc-mean()-Z","STANDING",1,-0.985297098679245
"202","fBodyAcc-std()-X","STANDING",1,-0.99602834509434
"203","fBodyAcc-std()-Y","STANDING",1,-0.972293102075472
"204","fBodyAcc-std()-Z","STANDING",1,-0.977937259622642
"205","fBodyAcc-meanFreq()-X","STANDING",1,0.0865153619088679
"206","fBodyAcc-meanFreq()-Y","STANDING",1,0.117478948718868
"207","fBodyAcc-meanFreq()-Z","STANDING",1,0.244858585792453
"208","fBodyAccJerk-mean()-X","STANDING",1,-0.994630797358491
"209","fBodyAccJerk-mean()-Y","STANDING",1,-0.985418704528302
"210","fBodyAccJerk-mean()-Z","STANDING",1,-0.990752166037736
"211","fBodyAccJerk-std()-X","STANDING",1,-0.995073759245283
"212","fBodyAccJerk-std()-Y","STANDING",1,-0.987018226792453
"213","fBodyAccJerk-std()-Z","STANDING",1,-0.992349818113208
"214","fBodyAccJerk-meanFreq()-X","STANDING",1,0.314182940150943
"215","fBodyAccJerk-meanFreq()-Y","STANDING",1,0.0391618954943396
"216","fBodyAccJerk-meanFreq()-Z","STANDING",1,0.138581478749057
"217","fBodyGyro-mean()-X","STANDING",1,-0.986386786037736
"218","fBodyGyro-mean()-Y","STANDING",1,-0.988984455849057
"219","fBodyGyro-mean()-Z","STANDING",1,-0.980773122830189
"220","fBodyGyro-std()-X","STANDING",1,-0.987497128679245
"221","fBodyGyro-std()-Y","STANDING",1,-0.987107727735849
"222","fBodyGyro-std()-Z","STANDING",1,-0.98234533
"223","fBodyGyro-meanFreq()-X","STANDING",1,-0.120293020603774
"224","fBodyGyro-meanFreq()-Y","STANDING",1,-0.0447191978169811
"225","fBodyGyro-meanFreq()-Z","STANDING",1,0.100607635139623
"226","fBodyAccMag-mean()","STANDING",1,-0.985356361132075
"227","fBodyAccMag-std()","STANDING",1,-0.982313804716981
"228","fBodyAccMag-meanFreq()","STANDING",1,0.284555290773585
"229","fBodyBodyAccJerkMag-mean()","STANDING",1,-0.99254247754717
"230","fBodyBodyAccJerkMag-std()","STANDING",1,-0.992536003396226
"231","fBodyBodyAccJerkMag-meanFreq()","STANDING",1,0.422220102264151
"232","fBodyBodyGyroMag-mean()","STANDING",1,-0.984617623396226
"233","fBodyBodyGyroMag-std()","STANDING",1,-0.978466072075472
"234","fBodyBodyGyroMag-meanFreq()","STANDING",1,-0.0286057725328302
"235","fBodyBodyGyroJerkMag-mean()","STANDING",1,-0.994815376981132
"236","fBodyBodyGyroJerkMag-std()","STANDING",1,-0.994671123207547
"237","fBodyBodyGyroJerkMag-meanFreq()","STANDING",1,0.334498734301887
"238","tBodyAcc-mean()-X","WALKING",1,0.277330758736842
"239","tBodyAcc-mean()-Y","WALKING",1,-0.0173838185273684
"240","tBodyAcc-mean()-Z","WALKING",1,-0.111148103547368
"241","tBodyAcc-std()-X","WALKING",1,-0.283740258842105
"242","tBodyAcc-std()-Y","WALKING",1,0.114461336747368
"243","tBodyAcc-std()-Z","WALKING",1,-0.260027902210526
"244","tGravityAcc-mean()-X","WALKING",1,0.935223201473684
"245","tGravityAcc-mean()-Y","WALKING",1,-0.282165021263158
"246","tGravityAcc-mean()-Z","WALKING",1,-0.068102864
"247","tGravityAcc-std()-X","WALKING",1,-0.976609642526316
"248","tGravityAcc-std()-Y","WALKING",1,-0.971305961473684
"249","tGravityAcc-std()-Z","WALKING",1,-0.947717226105263
"250","tBodyAccJerk-mean()-X","WALKING",1,0.0740416333157895
"251","tBodyAccJerk-mean()-Y","WALKING",1,0.0282721095884211
"252","tBodyAccJerk-mean()-Z","WALKING",1,-0.00416840617789474
"253","tBodyAccJerk-std()-X","WALKING",1,-0.113615602435789
"254","tBodyAccJerk-std()-Y","WALKING",1,0.0670025007684211
"255","tBodyAccJerk-std()-Z","WALKING",1,-0.502699788526316
"256","tBodyGyro-mean()-X","WALKING",1,-0.041830963526
"257","tBodyGyro-mean()-Y","WALKING",1,-0.0695300462115789
"258","tBodyGyro-mean()-Z","WALKING",1,0.0849448173042105
"259","tBodyGyro-std()-X","WALKING",1,-0.473535485894737
"260","tBodyGyro-std()-Y","WALKING",1,-0.0546077686594737
"261","tBodyGyro-std()-Z","WALKING",1,-0.344266629473684
"262","tBodyGyroJerk-mean()-X","WALKING",1,-0.0899975423705263
"263","tBodyGyroJerk-mean()-Y","WALKING",1,-0.0398428709463158
"264","tBodyGyroJerk-mean()-Z","WALKING",1,-0.0461309295021053
"265","tBodyGyroJerk-std()-X","WALKING",1,-0.207421854757895
"266","tBodyGyroJerk-std()-Y","WALKING",1,-0.304468510631579
"267","tBodyGyroJerk-std()-Z","WALKING",1,-0.404255452631579
"268","tBodyAccMag-mean()","WALKING",1,-0.136971176556842
"269","tBodyAccMag-std()","WALKING",1,-0.219688645631579
"270","tGravityAccMag-mean()","WALKING",1,-0.136971176556842
"271","tGravityAccMag-std()","WALKING",1,-0.219688645631579
"272","tBodyAccJerkMag-mean()","WALKING",1,-0.141428809031579
"273","tBodyAccJerkMag-std()","WALKING",1,-0.0744717500625263
"274","tBodyGyroMag-mean()","WALKING",1,-0.160979552536842
"275","tBodyGyroMag-std()","WALKING",1,-0.186978364526316
"276","tBodyGyroJerkMag-mean()","WALKING",1,-0.298703679084211
"277","tBodyGyroJerkMag-std()","WALKING",1,-0.325324878894737
"278","fBodyAcc-mean()-X","WALKING",1,-0.202794306326316
"279","fBodyAcc-mean()-Y","WALKING",1,0.0897127264021053
"280","fBodyAcc-mean()-Z","WALKING",1,-0.331560117789474
"281","fBodyAcc-std()-X","WALKING",1,-0.319134719578947
"282","fBodyAcc-std()-Y","WALKING",1,0.056040006846
"283","fBodyAcc-std()-Z","WALKING",1,-0.279686751494737
"284","fBodyAcc-meanFreq()-X","WALKING",1,-0.207548374494737
"285","fBodyAcc-meanFreq()-Y","WALKING",1,0.113093646103158
"286","fBodyAcc-meanFreq()-Z","WALKING",1,0.0497265196172632
"287","fBodyAccJerk-mean()-X","WALKING",1,-0.170546964549579
"288","fBodyAccJerk-mean()-Y","WALKING",1,-0.0352255241130632
"289","fBodyAccJerk-mean()-Z","WALKING",1,-0.468999224631579
"290","fBodyAccJerk-std()-X","WALKING",1,-0.133586606326316
"291","fBodyAccJerk-std()-Y","WALKING",1,0.106739857136
"292","fBodyAccJerk-std()-Z","WALKING",1,-0.534713440421053
"293","fBodyAccJerk-meanFreq()-X","WALKING",1,-0.209261973376842
"294","fBodyAccJerk-meanFreq()-Y","WALKING",1,-0.386237143210526
"295","fBodyAccJerk-meanFreq()-Z","WALKING",1,-0.185530281244211
"296","fBodyGyro-mean()-X","WALKING",1,-0.339032197115789
"297","fBodyGyro-mean()-Y","WALKING",1,-0.103059416434737
"298","fBodyGyro-mean()-Z","WALKING",1,-0.255940940315789
"299","fBodyGyro-std()-X","WALKING",1,-0.516691938736842
"300","fBodyGyro-std()-Y","WALKING",1,-0.0335081597884211
"301","fBodyGyro-std()-Z","WALKING",1,-0.436562227473684
"302","fBodyGyro-meanFreq()-X","WALKING",1,0.0147844986621053
"303","fBodyGyro-meanFreq()-Y","WALKING",1,-0.0657746190010526
"304","fBodyGyro-meanFreq()-Z","WALKING",1,0.00077332156431579
"305","fBodyAccMag-mean()","WALKING",1,-0.128623450629474
"306","fBodyAccMag-std()","WALKING",1,-0.398032586842105
"307","fBodyAccMag-meanFreq()","WALKING",1,0.1906437244
"308","fBodyBodyAccJerkMag-mean()","WALKING",1,-0.0571194000343158
"309","fBodyBodyAccJerkMag-std()","WALKING",1,-0.103492403002105
"310","fBodyBodyAccJerkMag-meanFreq()","WALKING",1,0.0938221807027368
"311","fBodyBodyGyroMag-mean()","WALKING",1,-0.199252568986316
"312","fBodyBodyGyroMag-std()","WALKING",1,-0.321017953894737
"313","fBodyBodyGyroMag-meanFreq()","WALKING",1,0.268844367525895
"314","fBodyBodyGyroJerkMag-mean()","WALKING",1,-0.319308593778947
"315","fBodyBodyGyroJerkMag-std()","WALKING",1,-0.381601911789474
"316","fBodyBodyGyroJerkMag-meanFreq()","WALKING",1,0.190663448793684
"317","tBodyAcc-mean()-X","WALKING_DOWNSTAIRS",1,0.289188320408163
"318","tBodyAcc-mean()-Y","WALKING_DOWNSTAIRS",1,-0.00991850461020408
"319","tBodyAcc-mean()-Z","WALKING_DOWNSTAIRS",1,-0.107566190908163
"320","tBodyAcc-std()-X","WALKING_DOWNSTAIRS",1,0.0300353383483878
"321","tBodyAcc-std()-Y","WALKING_DOWNSTAIRS",1,-0.0319359434489796
"322","tBodyAcc-std()-Z","WALKING_DOWNSTAIRS",1,-0.230434213204082
"323","tGravityAcc-mean()-X","WALKING_DOWNSTAIRS",1,0.931874418979592
"324","tGravityAcc-mean()-Y","WALKING_DOWNSTAIRS",1,-0.266610338979592
"325","tGravityAcc-mean()-Z","WALKING_DOWNSTAIRS",1,-0.0621199585938775
"326","tGravityAcc-std()-X","WALKING_DOWNSTAIRS",1,-0.950559811632653
"327","tGravityAcc-std()-Y","WALKING_DOWNSTAIRS",1,-0.937018658979592
"328","tGravityAcc-std()-Z","WALKING_DOWNSTAIRS",1,-0.895939695102041
"329","tBodyAccJerk-mean()-X","WALKING_DOWNSTAIRS",1,0.0541553164897959
"330","tBodyAccJerk-mean()-Y","WALKING_DOWNSTAIRS",1,0.0296504490408163
"331","tBodyAccJerk-mean()-Z","WALKING_DOWNSTAIRS",1,-0.0109719730183673
"332","tBodyAccJerk-std()-X","WALKING_DOWNSTAIRS",1,-0.012283860544898
"333","tBodyAccJerk-std()-Y","WALKING_DOWNSTAIRS",1,-0.101601390640816
"334","tBodyAccJerk-std()-Z","WALKING_DOWNSTAIRS",1,-0.345735032326531
"335","tBodyGyro-mean()-X","WALKING_DOWNSTAIRS",1,-0.0350781902989796
"336","tBodyGyro-mean()-Y","WALKING_DOWNSTAIRS",1,-0.0909371290204082
"337","tBodyGyro-mean()-Z","WALKING_DOWNSTAIRS",1,0.0900850142030612
"338","tBodyGyro-std()-X","WALKING_DOWNSTAIRS",1,-0.458030542938775
"339","tBodyGyro-std()-Y","WALKING_DOWNSTAIRS",1,-0.126349194938775
"340","tBodyGyro-std()-Z","WALKING_DOWNSTAIRS",1,-0.124702454242857
"341","tBodyGyroJerk-mean()-X","WALKING_DOWNSTAIRS",1,-0.0739592036271429
"342","tBodyGyroJerk-mean()-Y","WALKING_DOWNSTAIRS",1,-0.0439902783367347
"343","tBodyGyroJerk-mean()-Z","WALKING_DOWNSTAIRS",1,-0.0270461061061224
"344","tBodyGyroJerk-std()-X","WALKING_DOWNSTAIRS",1,-0.487027342244898
"345","tBodyGyroJerk-std()-Y","WALKING_DOWNSTAIRS",1,-0.238824827530612
"346","tBodyGyroJerk-std()-Z","WALKING_DOWNSTAIRS",1,-0.268761480242857
"347","tBodyAccMag-mean()","WALKING_DOWNSTAIRS",1,0.0271882914106122
"348","tBodyAccMag-std()","WALKING_DOWNSTAIRS",1,0.0198843506265306
"349","tGravityAccMag-mean()","WALKING_DOWNSTAIRS",1,0.0271882914106122
"350","tGravityAccMag-std()","WALKING_DOWNSTAIRS",1,0.0198843506265306
"351","tBodyAccJerkMag-mean()","WALKING_DOWNSTAIRS",1,-0.0894474807979592
"352","tBodyAccJerkMag-std()","WALKING_DOWNSTAIRS",1,-0.0257877197081633
"353","tBodyGyroMag-mean()","WALKING_DOWNSTAIRS",1,-0.0757412543673469
"354","tBodyGyroMag-std()","WALKING_DOWNSTAIRS",1,-0.225724368061224
"355","tBodyGyroJerkMag-mean()","WALKING_DOWNSTAIRS",1,-0.295463843346939
"356","tBodyGyroJerkMag-std()","WALKING_DOWNSTAIRS",1,-0.306510645530612
"357","fBodyAcc-mean()-X","WALKING_DOWNSTAIRS",1,0.0382291831510204
"358","fBodyAcc-mean()-Y","WALKING_DOWNSTAIRS",1,0.00154990783591837
"359","fBodyAcc-mean()-Z","WALKING_DOWNSTAIRS",1,-0.225574471693878
"360","fBodyAcc-std()-X","WALKING_DOWNSTAIRS",1,0.0243308391387755
"361","fBodyAcc-std()-Y","WALKING_DOWNSTAIRS",1,-0.112963739953061
"362","fBodyAcc-std()-Z","WALKING_DOWNSTAIRS",1,-0.297927894693878
"363","fBodyAcc-meanFreq()-X","WALKING_DOWNSTAIRS",1,-0.307395198687755
"364","fBodyAcc-meanFreq()-Y","WALKING_DOWNSTAIRS",1,0.0632200839346939
"365","fBodyAcc-meanFreq()-Z","WALKING_DOWNSTAIRS",1,0.294322700810612
"366","fBodyAccJerk-mean()-X","WALKING_DOWNSTAIRS",1,-0.0276638676122449
"367","fBodyAccJerk-mean()-Y","WALKING_DOWNSTAIRS",1,-0.12866715764898
"368","fBodyAccJerk-mean()-Z","WALKING_DOWNSTAIRS",1,-0.288334735714286
"369","fBodyAccJerk-std()-X","WALKING_DOWNSTAIRS",1,-0.0863278966402041
"370","fBodyAccJerk-std()-Y","WALKING_DOWNSTAIRS",1,-0.134580008877551
"371","fBodyAccJerk-std()-Z","WALKING_DOWNSTAIRS",1,-0.401721464285714
"372","fBodyAccJerk-meanFreq()-X","WALKING_DOWNSTAIRS",1,-0.253164344918367
"373","fBodyAccJerk-meanFreq()-Y","WALKING_DOWNSTAIRS",1,-0.33758970122449
"374","fBodyAccJerk-meanFreq()-Z","WALKING_DOWNSTAIRS",1,0.00937223889183673
"375","fBodyGyro-mean()-X","WALKING_DOWNSTAIRS",1,-0.352449631363265
"376","fBodyGyro-mean()-Y","WALKING_DOWNSTAIRS",1,-0.0557022524693878
"377","fBodyGyro-mean()-Z","WALKING_DOWNSTAIRS",1,-0.0318694271979592
"378","fBodyGyro-std()-X","WALKING_DOWNSTAIRS",1,-0.495422486102041
"379","fBodyGyro-std()-Y","WALKING_DOWNSTAIRS",1,-0.181414728657143
"380","fBodyGyro-std()-Z","WALKING_DOWNSTAIRS",1,-0.238443565306122
"381","fBodyGyro-meanFreq()-X","WALKING_DOWNSTAIRS",1,-0.100453729040816
"382","fBodyGyro-meanFreq()-Y","WALKING_DOWNSTAIRS",1,0.0825511487183673
"383","fBodyGyro-meanFreq()-Z","WALKING_DOWNSTAIRS",1,-0.0756762067714286
"384","fBodyAccMag-mean()","WALKING_DOWNSTAIRS",1,0.0965845343040816
